sub_id,MnRT,group,type
028,1.3128983333333333,Naodao,Incongruent
029,0.6057066666666666,Naodao,Congruent
029,0.7116416666666667,Naodao,Incongruent
030,0.5575600000000001,Naodao,Congruent
030,0.7835300000000001,Naodao,Incongruent
031,0.48125,Naodao,Congruent
031,0.6480383333333334,Naodao,Incongruent
032,0.9316633333333333,Naodao,Congruent
032,1.0029816666666667,Naodao,Incongruent
033,0.988965,Naodao,Congruent
033,0.9754366666666667,Naodao,Incongruent
034,0.8094866666666667,Naodao,Congruent
034,0.9255733333333332,Naodao,Incongruent
035,0.632225,Naodao,Congruent
035,0.7360933333333333,Naodao,Incongruent
036,0.5955393183297323,Offline,Congruent
036,0.5586655316602749,Offline,Incongruent
037,0.5260597566676248,Offline,Congruent
037,0.6172836033324226,Offline,Incongruent
038,0.7312932533330847,Offline,Congruent
038,0.9292385800014017,Offline,Incongruent
039,0.7017897950005135,Offline,Congruent
039,0.9589812816659105,Offline,Incongruent
040,0.8407731649989728,Offline,Congruent
040,1.311604200002815,Offline,Incongruent
041,0.5917813016661967,Offline,Congruent
041,0.5934137316675333,Offline,Incongruent
042,0.6756912933339966,Offline,Congruent
042,0.7676546450003419,Offline,Incongruent
043,0.6991898366676954,Offline,Congruent
043,1.0506541366669504,Offline,Incongruent
044,0.6746715733337624,Offline,Congruent
044,0.7015120583341438,Offline,Incongruent
045,0.6998305333332837,Offline,Congruent
045,0.8276930616666732,Offline,Incongruent
046,0.5816755849984474,Offline,Congruent
046,0.8534774249991945,Offline,Incongruent
047,0.9834965100201468,Offline,Congruent
047,1.2356194749940186,Offline,Incongruent
048,0.5746758299934057,Offline,Congruent
048,0.610750715000128,Offline,Incongruent
049,0.7190754216680944,Offline,Congruent
049,0.8219064833331503,Offline,Incongruent
050,0.6348997166676175,Offline,Congruent
050,0.7337393316673115,Offline,Incongruent
051,0.5366983516666667,Offline,Congruent
051,0.818552515,Offline,Incongruent
052,0.8799591366589691,Offline,Congruent
052,0.9264165199943818,Offline,Incongruent
053,0.5812356099990817,Offline,Congruent
053,0.6903712033332946,Offline,Incongruent
054,0.6259727200027555,Offline,Congruent
054,0.9063535333254064,Offline,Incongruent
055,0.6452149849996204,Offline,Congruent
055,0.8326228783330104,Offline,Incongruent
056,0.5936371916662514,Offline,Congruent
056,0.66525845000142,Offline,Incongruent
057,0.6882097316674965,Offline,Congruent
057,1.044763298331721,Offline,Incongruent
058,0.605354428323529,Offline,Congruent
058,0.7588468433357776,Offline,Incongruent
059,0.8734275150035198,Offline,Congruent
059,1.0328071499980676,Offline,Incongruent
060,0.6774013600001733,Offline,Congruent
060,0.9049222183326492,Offline,Incongruent
061,0.6430019199692955,Offline,Congruent
061,0.7626717932987959,Offline,Incongruent
062,0.5684298883308656,Offline,Congruent
062,0.5889997316699009,Offline,Incongruent
063,0.5637447766649226,Offline,Congruent
063,0.707901061673571,Offline,Incongruent
064,0.5874673933333391,Offline,Congruent
064,0.7034933983333455,Offline,Incongruent
065,0.5982736066662862,Offline,Congruent
065,0.6723899716673866,Offline,Incongruent
066,0.6102439266629517,Offline,Congruent
066,0.6620258883107454,Offline,Incongruent
067,0.5831629849970341,Offline,Congruent
067,0.7304510799993296,Offline,Incongruent
068,0.842478955000115,Offline,Congruent
068,0.915572710000318,Offline,Incongruent
069,0.8082984000000579,Offline,Congruent
069,0.8483820383330264,Offline,Incongruent
070,0.6581992449994626,Offline,Congruent
070,0.9356360416670213,Offline,Incongruent
071,0.4959961666666667,Pavlovia,Congruent
071,0.6481908333333333,Pavlovia,Incongruent
073,0.6212825,Pavlovia,Congruent
073,0.9236857500000001,Pavlovia,Incongruent
074,0.5983216666666666,Pavlovia,Congruent
074,0.8066792500000001,Pavlovia,Incongruent
075,0.6738116666666667,Pavlovia,Congruent
075,0.9797783333333333,Pavlovia,Incongruent
076,0.7289625833333333,Pavlovia,Congruent
076,1.1998329166666666,Pavlovia,Incongruent
077,0.6174649999999999,Pavlovia,Congruent
077,1.1240893333333333,Pavlovia,Incongruent
078,0.5842333333333334,Pavlovia,Congruent
078,0.8641733333333333,Pavlovia,Incongruent
079,0.6950979166666666,Pavlovia,Congruent
079,0.6734055,Pavlovia,Incongruent
080,0.52835,Pavlovia,Congruent
080,0.72075,Pavlovia,Incongruent
081,0.8608659166666667,Pavlovia,Congruent
081,1.240208,Pavlovia,Incongruent
082,0.7136221666666667,Pavlovia,Congruent
082,0.9836962499999999,Pavlovia,Incongruent
083,0.6548425833333333,Pavlovia,Congruent
083,1.019284,Pavlovia,Incongruent
084,0.6174166666666667,Pavlovia,Congruent
084,0.8017666666666667,Pavlovia,Incongruent
085,0.6524483333333334,Pavlovia,Congruent
085,0.7208733333333334,Pavlovia,Incongruent
086,0.6368183333333334,Pavlovia,Congruent
086,1.0066333333333333,Pavlovia,Incongruent
087,0.590205,Pavlovia,Congruent
087,0.8637733333333333,Pavlovia,Incongruent
088,0.566335,Pavlovia,Congruent
088,0.6727916666666667,Pavlovia,Incongruent
089,0.7629166666666667,Pavlovia,Congruent
089,0.87775,Pavlovia,Incongruent
090,0.6320416666666666,Pavlovia,Congruent
090,0.8289616666666666,Pavlovia,Incongruent
091,0.6124416666666667,Pavlovia,Congruent
091,0.7554649999999999,Pavlovia,Incongruent
092,0.5890500000000001,Pavlovia,Congruent
092,0.6474,Pavlovia,Incongruent
093,0.7046766666666666,Pavlovia,Congruent
093,1.0976716666666666,Pavlovia,Incongruent
094,0.93805,Pavlovia,Congruent
094,0.9819766666666666,Pavlovia,Incongruent
095,0.6885,Pavlovia,Congruent
095,0.6880033333333333,Pavlovia,Incongruent
096,0.5628583333333333,Pavlovia,Congruent
096,0.8153083333333334,Pavlovia,Incongruent
097,0.8181999999999999,Pavlovia,Congruent
097,0.9934999999999999,Pavlovia,Incongruent
098,0.8780466666666666,Pavlovia,Congruent
098,0.752285,Pavlovia,Incongruent
099,0.7686016666666667,Pavlovia,Congruent
099,1.0037533333333333,Pavlovia,Incongruent
100,0.5455045833333333,Pavlovia,Congruent
100,0.608885,Pavlovia,Incongruent
101,0.86923,Pavlovia,Congruent
101,0.7800383333333334,Pavlovia,Incongruent
102,0.6649433333333333,Pavlovia,Congruent
102,0.7587416666666668,Pavlovia,Incongruent
103,0.72902,Pavlovia,Congruent
103,0.8563683333333334,Pavlovia,Incongruent
104,0.5953633333333334,Pavlovia,Congruent
104,0.8025716666666667,Pavlovia,Incongruent
105,0.5715116666666666,Pavlovia,Congruent
105,0.6652233333333334,Pavlovia,Incongruent
